BioSample,BioProject,Organism,sub_group,SRA_Study,era,era_guess,age,comments,DATASTORE_filetype,run_count
SAMEA4351925,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351926,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351927,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351928,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351930,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351931,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351932,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351933,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351934,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4552432,PRJEB14779,Equus caballus,Thoroughbred,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4822838,PRJEB14779,Equus caballus,American Paint,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4822839,PRJEB14779,Equus caballus,Shetland,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4822840,PRJEB14779,Equus caballus,Icelandic,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4822841,PRJEB14779,Equus caballus,Holsteiner,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4822842,PRJEB14779,Equus caballus,Holsteiner,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4822843,PRJEB14779,Equus caballus,Holsteiner,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4822844,PRJEB14779,Equus caballus,Holsteiner,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4844373,PRJEB28294,Equus caballus,Iceland_HB_01,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844374,PRJEB28294,Equus caballus,Iceland_HB_02,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844375,PRJEB28294,Equus caballus,Iceland_HB_03,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844376,PRJEB28294,Equus caballus,Iceland_HB_04,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844377,PRJEB28294,Equus caballus,Iceland_HB_05,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844378,PRJEB28294,Equus caballus,Iceland_HB_06,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844379,PRJEB28294,Equus caballus,Iceland_HB_07,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844380,PRJEB28294,Equus caballus,Iceland_HB_08,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844381,PRJEB28294,Equus caballus,Iceland_HB_09,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844382,PRJEB28294,Equus caballus,Iceland_HB_10,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844383,PRJEB28294,Equus caballus,Iceland_HB_11,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844384,PRJEB28294,Equus caballus,Iceland_HB_12,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844385,PRJEB28294,Equus caballus,Iceland_HB_13,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844386,PRJEB28294,Equus caballus,Iceland_HB_14,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844387,PRJEB28294,Equus caballus,Iceland_HB_15,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844388,PRJEB28294,Equus caballus,Iceland_HB_16,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844389,PRJEB28294,Equus caballus,Iceland_HB_17,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844390,PRJEB28294,Equus caballus,Iceland_HB_18,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844391,PRJEB28294,Equus caballus,Iceland_HB_19,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844392,PRJEB28294,Equus caballus,Iceland_HB_20,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844393,PRJEB28294,Equus caballus,Iceland_HB_21,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA4844394,PRJEB28294,Equus caballus,Iceland_HB_22,ERP110480,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA5079157,PRJEB29661,Equus caballus,Iceland_NEG_01,ERP111980,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA5079158,PRJEB29661,Equus caballus,Iceland_NEG_02,ERP111980,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA5079159,PRJEB29661,Equus caballus,Iceland_NEG_03,ERP111980,ancient,,,"alias holds some clues, check supplementary",'fastq' 'sra',1
SAMEA5408142,PRJEB31613,Equus caballus,Actiparc,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408143,PRJEB31613,Equus caballus,Actiparc,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408144,PRJEB31613,Equus caballus,Actiparc,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408145,PRJEB31613,Equus caballus,Actiparc,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408146,PRJEB31613,Equus caballus,Actiparc,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408147,PRJEB31613,Equus caballus,Altata,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408148,PRJEB31613,Equus caballus,Arzhan I,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408149,PRJEB31613,Equus caballus,Arzhan II,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408150,PRJEB31613,Equus caballus,Arzhan II,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408151,PRJEB31613,Equus caballus,Arzhan II,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408152,PRJEB31613,Equus caballus,Arzhan II,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408153,PRJEB31613,Equus caballus,Augusta Raurica - Insula 8,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408154,PRJEB31613,Equus caballus,Augusta Raurica - Schmidmatt,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408155,PRJEB31613,Equus caballus,Augusta Raurica - Schmidmatt,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408156,PRJEB31613,Equus caballus,Balagansk,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408157,PRJEB31613,Equus caballus,Bapska Gradac,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408158,PRJEB31613,Equus caballus,Bateni,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408159,PRJEB31613,Equus caballus,"Beauvais, la Maladrerie Saint-Lazare",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408160,PRJEB31613,Equus caballus,"Beauvais, VIlliers-de-l'Isle Adam",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408161,PRJEB31613,Equus caballus,Belgheis,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408162,PRJEB31613,Equus caballus,Belkaragay,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408163,PRJEB31613,Equus caballus,Belkaragay,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408164,PRJEB31613,Equus caballus,Berufjordur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
